Temperature 7.5e+23
config,energy,magnetism
853,-858,-24
854,-1030,324
855,-1090,66
856,-972,-220
857,-976,-260
858,-990,-38
859,-904,-168
860,-1076,52
861,-988,-86
862,-758,-76
863,-1064,18
864,-752,20
865,-978,132
866,-924,-182
867,-970,-68
868,-1106,-4
869,-1120,160
870,-780,-20
871,-962,-130
872,-1012,-70
873,-1066,-92
874,-756,186
875,-1204,-64
876,-1164,-50
877,-1008,-96
878,-1000,0
879,-828,-36
880,-826,4
881,-1046,-70
882,-1292,-158
883,-1116,222
884,-884,-42
885,-992,116
886,-908,194
887,-802,64
888,-994,122
889,-796,-92
890,-862,-180
891,-648,-46
892,-806,94
893,-848,60
894,-1068,-152
895,-878,-50
896,-900,146
897,-916,118
898,-1170,118
899,-800,-170
900,-936,-148
901,-1046,-6
902,-838,44
903,-1050,160
904,-1228,-56
905,-962,86
906,-1002,-28
907,-794,80
908,-710,224
909,-686,88
910,-772,-78
911,-1002,122
912,-1088,-64
913,-844,-272
914,-958,-72
915,-916,-4
916,-880,22
917,-1138,-16
918,-704,-58
919,-804,-76
920,-878,-76
921,-856,38
922,-1092,40
923,-1048,-30
924,-1240,14
925,-836,24
926,-1046,6
927,-1144,-94
928,-1108,-18
929,-1026,-38
930,-996,-32
931,-868,98
932,-962,-6
933,-802,14
934,-1076,70
935,-932,-100
936,-1128,12
937,-972,102
938,-822,8
939,-914,60
940,-1072,-76
941,-824,-58
942,-1250,230
943,-1108,-54
944,-878,170
945,-846,-34
946,-916,-76
947,-1088,78
948,-1082,134
949,-682,16
950,-874,-30
951,-984,30
952,-868,54
953,-900,-154
954,-1110,102
955,-1208,100
956,-732,-36
957,-1108,106
958,-832,-170
959,-836,134
960,-1048,94
961,-798,-208
962,-958,166
963,-894,30
964,-1158,114
965,-1186,208
966,-1092,24
967,-972,-220
968,-1002,2
969,-1076,-40
970,-830,144
971,-868,-86
972,-694,-142
973,-922,224
974,-798,-56
975,-974,112
976,-1032,170
977,-868,168
978,-986,-262
979,-772,130
980,-850,-112
981,-798,-170
982,-582,-402
983,-978,-100
984,-938,-70
985,-838,-16
986,-834,128
987,-996,112
988,-862,-6
989,-738,-104
990,-850,124
991,-962,28
992,-1002,102
993,-984,24
994,-1000,-6
995,-754,-66
996,-1208,-192
997,-986,-98
998,-1022,180
999,-816,-118
