Temperature 10000
config,energy,magnetism
491,-1579,-78
492,-1717,-130
493,-1597,246
494,-1505,204
495,-1629,-416
496,-1713,-70
497,-1671,2
498,-1523,-140
499,-1797,-336
500,-1649,42
501,-1667,26
502,-1701,-144
503,-1613,-104
504,-1449,-90
505,-1695,200
506,-1515,-110
507,-1687,6
508,-1469,-8
509,-1611,58
510,-1787,50
511,-1737,44
512,-1577,44
513,-1633,-112
514,-1663,-150
515,-1561,46
516,-1673,76
517,-1621,244
518,-1613,6
519,-1629,132
520,-1653,-92
521,-1541,-82
522,-1773,52
523,-1593,-74
524,-1451,-16
525,-1699,36
526,-1719,-68
527,-1743,212
528,-1549,48
529,-1589,26
530,-1593,-146
531,-1779,16
532,-1485,10
533,-1539,252
534,-1527,-18
535,-1611,214
536,-1727,-88
537,-1615,156
538,-1559,52
539,-1749,6
540,-1651,108
541,-1731,-20
542,-1679,100
543,-1709,74
544,-1557,-20
545,-1553,-94
546,-1609,-62
547,-1483,150
548,-1751,6
549,-1451,52
550,-1717,-190
551,-1807,30
552,-1727,28
553,-1639,-98
554,-1681,118
555,-1479,80
556,-1625,-90
557,-1759,-6
558,-1545,82
559,-1483,-136
560,-1555,-36
561,-1609,-56
562,-1513,-140
563,-1535,32
564,-1725,-178
565,-1689,-94
566,-1575,216
567,-1599,150
568,-1615,20
569,-1631,-102
570,-1695,-138
571,-1587,-74
572,-1643,156
573,-1617,36
574,-1647,68
575,-1659,40
576,-1649,68
577,-1685,-148
578,-1513,190
579,-1599,168
580,-1539,34
581,-1607,152
582,-1545,-64
583,-1507,-54
584,-1623,86
585,-1645,-38
586,-1735,38
587,-1671,14
588,-1525,52
589,-1587,-132
590,-1831,-96
591,-1619,8
592,-1573,74
593,-1479,94
594,-1675,100
595,-1603,-92
596,-1643,2
597,-1699,102
598,-1509,8
599,-1821,102
600,-1703,-164
601,-1565,-102
602,-1469,-2
603,-1669,20
604,-1469,112
605,-1607,-120
606,-1561,-128
607,-1645,-28
608,-1537,260
609,-1595,-128
610,-1639,40
611,-1541,-70
612,-1687,418
613,-1639,-180
614,-1547,-120
615,-1709,-4
616,-1747,144
617,-1715,-304
618,-1649,64
619,-1541,16
620,-1723,-36
621,-1613,8
622,-1627,-178
623,-1581,-202
624,-1697,-190
625,-1639,48
626,-1641,-210
627,-1707,-160
628,-1481,108
629,-1741,-76
630,-1555,-328
631,-1715,-18
632,-1609,-84
633,-1579,38
634,-1475,14
635,-1757,-50
636,-1823,-166
637,-1667,-20
638,-1497,-198
639,-1731,-232
640,-1521,6
641,-1615,8
642,-1609,-46
643,-1629,70
644,-1611,-10
645,-1703,100
646,-1461,-18
647,-1653,-126
648,-1567,-222
649,-1661,76
650,-1473,10
651,-1515,-104
652,-1727,6
653,-1585,-38
654,-1669,110
655,-1695,164
656,-1437,-134
657,-1563,-108
658,-1681,58
659,-1631,-80
660,-1593,42
661,-1443,8
662,-1579,190
663,-1715,-52
664,-1717,86
665,-1555,-136
666,-1523,-142
667,-1745,-96
668,-1519,-6
669,-1661,-234
670,-1443,-98
671,-1749,108
672,-1593,-102
673,-1601,-242
