Temperature 1e+20
config,energy,magnetism
679,-16222,226
680,-16300,978
681,-16452,1606
682,-16080,248
683,-16500,1110
684,-16452,-668
685,-16246,650
686,-16378,-166
687,-16524,1622
688,-16264,-244
689,-16376,90
690,-16314,-264
691,-16400,378
692,-16598,834
693,-16390,-1266
694,-16402,402
695,-16370,1044
696,-16466,914
697,-16304,632
698,-16356,-272
699,-16474,-1112
700,-16354,-120
701,-16428,-736
702,-16434,1290
703,-16642,724
704,-16238,-502
705,-16236,-106
706,-16248,-50
707,-16278,1264
708,-16282,-386
709,-16146,206
710,-16442,24
711,-16240,1258
712,-16092,-454
713,-16194,60
714,-16236,-850
715,-16364,-106
716,-16242,-188
717,-16352,264
718,-16272,-1278
719,-16514,-444
720,-16276,190
721,-16112,-250
722,-16076,-42
723,-16150,-874
724,-16262,-1084
725,-16286,-938
726,-16198,-926
727,-16116,-1206
728,-16194,348
729,-16454,-740
730,-16260,1412
731,-16272,636
732,-16364,338
733,-16362,18
734,-16414,534
735,-16174,-184
736,-16258,-248
737,-16162,-668
738,-16452,802
739,-16382,-596
740,-16272,108
741,-16180,-436
742,-16292,-1018
743,-16278,-584
744,-16210,-1144
745,-16124,-170
746,-16332,924
747,-16084,-672
748,-16410,-876
749,-16136,1458
750,-16112,412
751,-16454,-542
752,-16112,-408
753,-16222,914
754,-16192,728
755,-16112,-32
756,-16348,-168
757,-16266,1050
758,-16286,-496
759,-16264,650
760,-16194,134
761,-16390,1078
762,-16378,1244
763,-16364,-668
764,-16252,452
765,-16200,-1338
766,-16408,-568
767,-16458,12
768,-16276,954
769,-16178,300
770,-16616,1178
771,-16020,70
772,-16376,-908
773,-16200,-494
774,-16218,990
775,-16432,696
776,-16238,-298
777,-16386,612
778,-16192,-14
779,-16640,956
780,-16434,1460
781,-16242,862
782,-16230,-788
783,-16518,390
784,-16356,-418
785,-16246,-812
786,-16476,-1554
787,-16246,714
788,-16236,-378
789,-16326,132
790,-16368,-1152
791,-16290,754
792,-16354,888
793,-16314,-548
794,-16392,272
795,-16490,-858
796,-16384,-1158
797,-16554,1312
798,-16312,-84
799,-16432,-1598
800,-16350,-688
801,-16358,742
802,-16372,1516
803,-16278,676
804,-16568,1190
805,-16258,346
806,-16468,584
807,-16472,-212
808,-16288,-876
809,-16366,638
810,-16356,-186
811,-16234,-66
812,-16194,118
813,-16270,-132
814,-16142,-490
815,-16330,-778
816,-16354,38
817,-16276,254
818,-16264,114
819,-16322,806
820,-16446,-288
821,-16290,268
822,-16092,688
823,-16512,-1210
824,-16236,-408
825,-16512,2084
826,-16334,-1176
827,-16324,414
828,-16144,-684
829,-16432,256
830,-16386,1352
831,-16080,590
832,-16204,-112
833,-16258,-270
834,-16292,106
835,-16380,-722
836,-16482,706
837,-16434,-962
838,-16508,-758
839,-16404,724
840,-16258,-38
841,-16310,-8
842,-16108,798
843,-16306,1224
844,-16120,1074
845,-16330,176
846,-16366,-1062
847,-16182,48
848,-16346,-1306
849,-16518,-200
850,-16360,-140
851,-16158,250
852,-16132,588
853,-16260,-950
854,-16394,1584
855,-16356,-400
856,-16392,38
857,-16292,-368
858,-16506,740
859,-16290,736
860,-16488,1036
861,-16244,-654
862,-16318,-364
863,-16072,272
864,-16172,-952
865,-16436,414
866,-16388,1072
867,-16556,-288
868,-16412,112
869,-16256,-460
870,-16072,-680
871,-16166,-498
872,-16122,34
873,-16462,-1312
874,-16288,-92
875,-16346,60
876,-16542,812
877,-16188,598
878,-16244,-138
879,-16178,-1300
880,-16306,294
881,-16436,-624
882,-16256,-378
883,-16430,-16
884,-16378,-286
885,-16318,860
886,-16232,1190
887,-16296,1946
888,-16320,-134
889,-16564,-682
890,-16366,-94
891,-16264,-1590
892,-16104,304
893,-16224,634
894,-16310,-760
895,-16460,168
896,-16312,-430
897,-16134,-92
898,-16420,450
899,-16028,1106
900,-16394,272
901,-16312,1084
902,-16298,786
903,-16302,592
904,-15972,-498
905,-16330,532
906,-16332,166
907,-16284,-458
908,-16346,114
909,-16290,1706
910,-16266,30
911,-16320,-514
912,-16458,1240
913,-16092,-222
914,-16396,542
915,-16198,-516
916,-16334,-1148
917,-16430,854
918,-16160,-186
919,-16322,284
920,-16366,238
921,-16320,762
922,-16180,-500
923,-16072,752
924,-16374,440
925,-16538,-628
926,-16334,820
927,-16200,312
928,-16036,-376
929,-16320,1312
930,-16440,862
931,-16374,-62
932,-16222,-302
933,-16396,-814
934,-15946,-196
935,-16432,440
936,-16270,-14
937,-16230,742
938,-16346,124
939,-16356,650
940,-16122,-434
941,-16356,-48
942,-16570,-116
943,-16220,-68
944,-16412,-272
945,-16182,-862
946,-16356,-264
947,-16194,-318
948,-16370,966
949,-16216,32
950,-16298,14
951,-16222,-202
952,-16360,-870
953,-16098,66
954,-16304,736
955,-16028,54
956,-16292,318
957,-16448,-406
958,-16214,-1438
959,-16404,836
960,-16406,-622
961,-16420,-476
962,-16486,-1212
963,-16328,-134
964,-16378,-958
965,-16144,-754
966,-16060,-102
967,-16458,-1550
968,-16160,-768
969,-16400,-188
970,-16316,1140
971,-16152,996
972,-16378,674
973,-16428,-944
974,-16196,-304
975,-16320,1050
976,-16276,-698
977,-16186,-786
978,-16196,268
979,-16400,1346
980,-16252,-386
981,-16284,480
982,-16202,-526
983,-16444,-474
984,-16206,1150
985,-16324,-174
986,-16160,-528
987,-16322,-1502
988,-16364,-734
989,-16398,140
990,-16348,-762
991,-16428,-884
992,-16308,164
993,-16304,400
994,-16300,210
995,-16192,-1128
996,-16466,270
997,-16282,212
998,-16446,-1292
999,-16406,70
